Name,Pass,Points Final,Points Pass,Grade,Details,Wire,Tgroove,Case,Wind,Modex,Airframe,Carrier Type,Carrier Name,Theatre,Mission Time,Mission Date,OS Date
Mauritz,1,n/a,1.0,WO,LIG,n/a,n/a,1,26.8,100,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:07:31+0,2006/2/24,Sun Aug 25 21:36:26 2019
Mauritz,2,1.5,2.0,--,_F_(LO)LULX _F_(H)LULIM  _F_H(LUL)IC (F)H(LUR)AR,3,20.6,1,26.8,100,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,11:12:34+0,2006/2/24,Sun Aug 25 21:41:29 2019
[MA] Fritter,1,2,2.0,--,_FLO_LURX _F_LOLURIM  SLOLOLULIC SLOLOLULAR,1,21,1,27,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:11:19+0,2006/2/24,Sun Aug 25 20:40:14 2019
[MA] Fritter,2,n/a,1.0,WO,(F)LOLURX (F)LO_LUR_IM  (SLO)_LOLUR_IC _FH_LULAR,n/a,n/a,1,28.8,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:16:44+0,2006/2/24,Sun Aug 25 20:45:39 2019
[MA] Fritter,3,0.5,0.0,CUT,_F_LO_LUR_X F(LO)_LUL_IM  (SLO)_LUL_IC SLO_LOLUL_AR,1,22.6,1,26.3,010,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:19:20+0,2006/2/24,Sun Aug 25 20:48:15 2019
[MA] Fritter,4,n/a,1.0,WO,LIG,n/a,n/a,1,26.4,104,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:38:38+0,2006/2/24,Sun Aug 25 21:07:33 2019
[MA] Fritter,5,1.5,2.0,--,_F_(LO)_LUR_X F(LO)LURIM  _F_LULIC LULAR,2,21.9,1,28.4,104,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:41:36+0,2006/2/24,Sun Aug 25 21:10:31 2019
[MA] Fritter,6,n/a,1.0,WO,F_LUR_X SLO_LUR_IM  (F)LULIC H_LUL_AR,n/a,n/a,1,26,104,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:50:29+0,2006/2/24,Sun Aug 25 21:19:24 2019
[MA] Fritter,7,0.5,0.0,CUT,FLOLURX SLOLOLURIM  (SLO)LOLULIC (SLO)_LUL_AR,3,22.8,1,27.8,104,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:53:03+0,2006/2/24,Sun Aug 25 21:21:58 2019
[MA] Fritter,8,n/a,1.0,WO,_SLO_(LO)_LUR_X SLO(LO)_LUR_IM  F(LO)LULIC (SLO)_LUL_AR,n/a,n/a,1,28.2,104,F-14B,Stennis,USS JOHN C. STENNIS CVN-74,PersianGulf,10:59:41+0,2006/2/24,Sun Aug 25 21:28:36 2019
